trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2022,Export,579,710813,9.025,kg,9.025,522944.842
2022,Export,620,710813,1.273,kg,1.273,35819.001
2022,Export,642,710813,20.132,kg,20.132,1082364.223
2022,Export,688,710813,54.005,kg,54.005,3161618.197
2022,Export,703,710813,159.129,kg,159.129,9670517.545
2022,Export,705,710813,0.125,kg,0.125,7121.913
2022,Export,710,710813,0.022,kg,0.022,1232.538
2022,Export,724,710813,98.559,kg,98.559,5062577.219
2022,Export,752,710813,82.208,kg,82.208,4273580.088
2022,Export,764,710813,0.0,kg,0.0,28.274
2022,Export,792,710813,302.467,kg,302.467,16979173.861
2022,Export,807,710813,7.001,kg,7.001,393815.277
2023,Import,56,710811,3.219,kg,3.219,7799.066
2023,Import,251,710811,6.01,kg,6.01,242770.143
2023,Import,276,710811,4.137,kg,4.137,322977.033
2023,Import,380,710811,8.919,kg,8.919,387872.832
2023,Import,528,710811,3.02,kg,3.02,2803.659
2023,Import,642,710811,0.053,kg,0.053,1223.819
2023,Import,826,710811,0.184,kg,0.184,4261.116
2023,Import,842,710811,0.023,kg,0.023,530.693
2023,Import,40,710812,3315.454,kg,3315.454,191004370.719
2023,Import,8,710813,0.019,kg,0.019,927.878
2023,Import,36,710813,7.042,kg,7.042,308488.125
2023,Import,40,710813,259.365,kg,259.365,11042880.703
2023,Import,56,710813,1.413,kg,1.413,24466.372
2023,Import,152,710813,0.007,kg,0.007,325.981
2023,Import,156,710813,11.003,kg,11.003,2107.194
2023,Import,203,710813,0.179,kg,0.179,8772.559
2023,Import,251,710813,458.619,kg,458.619,20043884.582
2023,Import,276,710813,2307.211,kg,2307.211,92622382.283
2023,Import,344,710813,2.002,kg,2.002,134893.811
2023,Import,376,710813,0.121,kg,0.121,5917.722
2023,Import,380,710813,10675.143,kg,10675.143,539270514.405
2023,Import,392,710813,2.047,kg,2.047,42653.44
2023,Import,458,710813,2.088,kg,2.088,92184.743
2023,Import,528,710813,0.005,kg,0.005,248.102
