reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
562,2023,Import,0,7108,29317.26
562,2023,Export,0,7108,110812754.041
566,2023,Import,0,7108,9045.299
579,2023,Export,0,7108,154930537.062
591,2023,Import,0,7108,3931077.0
591,2023,Export,0,7108,13271134.0
600,2023,Export,0,7108,12161253.33
686,2023,Import,0,7108,2100517.636
686,2023,Export,0,7108,874749413.23
702,2023,Export,0,7108,12563141451.48
710,2023,Import,0,7108,667579368.796
748,2023,Export,0,7108,1618594.35
768,2023,Export,0,7108,1947.371
788,2023,Import,0,7108,43440013.784
854,2023,Export,0,7108,3511999006.784
858,2023,Import,0,7108,4981.07
858,2023,Export,0,7108,545232.0
8,2024,Import,0,7108,14014959.022
32,2024,Import,0,7108,24805.33
32,2024,Export,0,7108,1628280075.67
51,2024,Import,0,7108,5943259912.44
51,2024,Export,0,7108,5605279374.88
52,2024,Export,0,7108,4000.0
60,2024,Import,0,7108,7248.04
68,2024,Export,0,7108,686631195.9
70,2024,Export,0,7108,883220.681
96,2024,Import,0,7108,1713492.929
96,2024,Export,0,7108,1972442.865
116,2024,Import,0,7108,165153666.04
116,2024,Export,0,7108,467902199.61
124,2024,Export,0,7108,27284784336.513
152,2024,Export,0,7108,1202822168.059
170,2024,Import,0,7108,22970.0
170,2024,Export,0,7108,4103524728.68
188,2024,Export,0,7108,39605608.83
204,2024,Import,0,7108,11111181.005
204,2024,Export,0,7108,11079838.854
218,2024,Export,0,7108,937632964.591
242,2024,Import,0,7108,26350.571
246,2024,Export,0,7108,2393366.41
258,2024,Import,0,7108,164430.14
258,2024,Export,0,7108,322769.235
268,2024,Export,0,7108,104699396.055
340,2024,Import,0,7108,146562.51
340,2024,Export,0,7108,193244840.6
344,2024,Import,0,7108,65384190513.939
344,2024,Export,0,7108,56535082373.244
360,2024,Export,0,7108,1062178295.45
384,2024,Export,0,7108,3143973443.593
414,2024,Import,0,7108,1065409947.0
414,2024,Export,0,7108,214103334.0
417,2024,Import,0,7108,1763723.0
417,2024,Export,0,7108,1405979506.0
428,2024,Export,0,7108,8747475.026
440,2024,Import,0,7108,17777569.0
440,2024,Export,0,7108,2348359.0
446,2024,Export,0,7108,1155494.458
450,2024,Export,0,7108,807776.773
454,2024,Import,0,7108,702.963
478,2024,Export,0,7108,1637579088.161
480,2024,Import,0,7108,37092412.517
480,2024,Export,0,7108,1882064.849
498,2024,Import,0,7108,39268.0
498,2024,Export,0,7108,1534269.0
516,2024,Export,0,7108,786732250.028
558,2024,Export,0,7108,1353943516.4
562,2024,Import,0,7108,91684.895
562,2024,Export,0,7108,4161063.177
579,2024,Export,0,7108,212055466.435
591,2024,Import,0,7108,3157132.0
591,2024,Export,0,7108,34468970.0
600,2024,Export,0,7108,38617395.88
604,2024,Import,0,7108,74680.749
620,2024,Import,0,7108,60580205.326
620,2024,Export,0,7108,210865152.083
682,2024,Export,0,7108,1774921463.627
686,2024,Import,0,7108,1001670.45
686,2024,Export,0,7108,930217713.698
688,2024,Import,0,7108,102557358.0
688,2024,Export,0,7108,18631277.0
768,2024,Export,0,7108,339.223
792,2024,Import,0,7108,17102291019.0
792,2024,Export,0,7108,3481781178.0
804,2024,Import,0,7108,14705862.5
804,2024,Export,0,7108,1959197.42
826,2024,Import,0,7108,76569909183.22
826,2024,Export,0,7108,65415144477.96
854,2024,Import,0,7108,3151.969
854,2024,Export,0,7108,4642549078.655
858,2024,Export,0,7108,5029317.0
860,2024,Export,0,7108,7480600000.0
894,2024,Import,0,7108,2476282.683
894,2024,Export,0,7108,111735173.261
31,2020,Import,0,7108,616.59
31,2020,Export,0,7108,195906490.6
48,2020,Import,0,7108,138343245.93
48,2020,Export,0,7108,173931073.13
51,2020,Import,0,7108,24224898.82
51,2020,Export,0,7108,247012721.91
64,2020,Import,0,7108,566883.453
100,2020,Import,0,7108,24591416.944
100,2020,Export,0,7108,29119575.768
124,2020,Export,0,7108,16012899883.027
