trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Export,634,7113,497.478,kg,497.478,532604726.28
2020,Export,620,7113,16.262,kg,16.262,2243304.026
2020,Export,616,7113,7.575,kg,7.575,148250.24
2020,Export,608,7113,3.011,kg,3.011,4090.463
2020,Export,604,7113,27.025,kg,27.025,159379.881
2020,Export,600,7113,12.401,kg,12.401,195788.948
2020,Export,591,7113,16.515,kg,16.515,1190662.721
2020,Export,586,7113,0.097,kg,0.097,30595.854
2020,Export,584,7113,3.112,kg,3.112,980839.124
2020,Export,579,7113,3.135,kg,3.135,50726.221
2020,Export,566,7113,2.15,kg,2.15,523624.059
2020,Export,554,7113,2.49,kg,2.49,1908906.263
2020,Export,534,7113,0.275,kg,0.275,86544.691
2020,Export,533,7113,0.05,kg,0.05,15610.282
2020,Export,531,7113,2.034,kg,2.034,641285.907
2020,Export,528,7113,564.67,kg,564.67,62779848.716
2020,Export,512,7113,8.202,kg,8.202,3922212.618
2020,Export,504,7113,17.473,kg,17.473,3183044.496
2020,Export,496,7113,0.045,kg,0.045,182.296
2020,Export,490,7113,347.542,kg,347.542,257325227.676
2020,Export,484,7113,100.445,kg,100.445,10611814.924
2020,Export,480,7113,0.001,kg,0.001,245.193
2020,Export,470,7113,2.275,kg,2.275,405355.625
2020,Export,458,7113,44.436,kg,44.436,1677308.439
2020,Export,450,7113,9.0,kg,9.0,477.594
2020,Export,446,7113,239.002,kg,239.002,6777465.711
2020,Export,442,7113,30.049,kg,30.049,4209854.158
2020,Export,440,7113,0.027,kg,0.027,8516.734
2020,Export,430,7113,0.085,kg,0.085,26651.441
2020,Export,422,7113,64.047,kg,64.047,8785700.829
2020,Export,414,7113,197.313,kg,197.313,16357248.356
2020,Export,410,7113,1481.294,kg,1481.294,202816982.02
2020,Export,404,7113,0.003,kg,0.003,1066.058
